Geo_FIPS,Geo_GEOID,Geo_NAME,housingunits,occupied,vacant,vacant_rental,vacant_sale,vacant_other,med_rent,med_rir,vacrate
17200,31000US17200,"Claremont-Lebanon, NH-VT Micro Area",122895,89481,33414,1626,1526,30262,872,29,0.271890638349811
17220,31000US17220,"Clarksburg, WV Micro Area",42938,37317,5621,544,819,4258,625,28.3999996185303,0.130909683730029
17260,31000US17260,"Clarksdale, MS Micro Area",10774,9350,1424,412,186,826,572,30.5,0.132170038982736
17300,31000US17300,"Clarksville, TN-KY Metro Area",111135,96607,14528,4217,1920,8391,820,29.2999992370605,0.130723894362712
17340,31000US17340,"Clearlake, CA Micro Area",35576,26771,8805,699,793,7313,921,39.5,0.247498313469755
17380,31000US17380,"Cleveland, MS Micro Area",14160,12377,1783,350,134,1299,576,30.7999992370605,0.125918079096045
17420,31000US17420,"Cleveland, TN Metro Area",50109,44442,5667,1332,822,3513,704,31.3999996185303,0.113093456265342
17460,31000US17460,"Cleveland-Elyria, OH Metro Area",955807,846647,109160,24836,11629,72695,750,31,0.114207156884183
17500,31000US17500,"Clewiston, FL Micro Area",14449,11156,3293,625,183,2485,764,30.7000007629395,0.227905045331857
17540,31000US17540,"Clinton, IA Micro Area",21762,19977,1785,484,192,1109,610,28,0.082023711055969
17580,31000US17580,"Clovis, NM Micro Area",20422,18223,2199,560,441,1198,715,30.6000003814697,0.107677994319851
17620,31000US17620,"Coamo, PR Micro Area",16049,13568,2481,163,178,2140,419,36.2999992370605,0.154589070970154
17640,31000US17640,"Coco, PR Micro Area",13936,11013,2923,94,208,2621,394,36.2999992370605,0.209744546498278
17660,31000US17660,"Coeur d'Alene, ID Metro Area",64525,55807,8718,1193,848,6677,823,30.5,0.135110422316931
17700,31000US17700,"Coffeyville, KS Micro Area",16507,13706,2801,266,514,2021,601,30.1000003814697,0.169685587932392
17740,31000US17740,"Coldwater, MI Micro Area",20682,15863,4819,299,303,4217,672,30.7000007629395,0.233004545014989
17780,31000US17780,"College Station-Bryan, TX Metro Area",97815,84436,13379,4047,1174,8158,849,39.2999992370605,0.136778612687216
17820,31000US17820,"Colorado Springs, CO Metro Area",269555,249765,19790,4624,3045,12121,941,30.3999996185303,0.07341729888149
17860,31000US17860,"Columbia, MO Metro Area",71232,66136,5096,1179,426,3491,798,34,0.071540880503145
17900,31000US17900,"Columbia, SC Metro Area",336587,296439,40148,8683,4726,26739,837,31.1000003814697,0.119279710743433
17980,31000US17980,"Columbus, GA-AL Metro Area",130160,111394,18766,5123,2447,11196,813,31.1000003814697,0.144176398279041
18020,31000US18020,"Columbus, IN Metro Area",33280,30516,2764,434,476,1854,807,26.3999996185303,0.083052884615385
18060,31000US18060,"Columbus, MS Micro Area",26784,23431,3353,553,210,2590,706,34.2999992370605,0.125186678614098
18100,31000US18100,"Columbus, NE Micro Area",13505,12666,839,220,80,539,643,22.5,0.062125138837468
18140,31000US18140,"Columbus, OH Metro Area",829386,748544,80842,20732,9366,50744,822,29.2000007629395,0.09747210587109
18180,31000US18180,"Concord, NH Micro Area",63589,57040,6549,797,562,5190,942,30.7000007629395,0.10298951076444
18220,31000US18220,"Connersville, IN Micro Area",10848,9336,1512,664,304,544,634,33.7999992370605,0.139380530973451
18260,31000US18260,"Cookeville, TN Micro Area",48485,42694,5791,1350,306,4135,594,33.7000007629395,0.11943900175312
18300,31000US18300,"Coos Bay, OR Micro Area",30511,25847,4664,838,558,3268,728,33.7000007629395,0.152862901904231
18380,31000US18380,"Cordele, GA Micro Area",10719,8574,2145,325,165,1655,589,38.2999992370605,0.200111950741674
18420,31000US18420,"Corinth, MS Micro Area",17097,14651,2446,352,213,1881,608,29,0.143066034976897
18460,31000US18460,"Cornelia, GA Micro Area",18136,14613,3523,586,610,2327,675,30.5,0.194254521393913
18500,31000US18500,"Corning, NY Micro Area",48859,41285,7574,483,354,6737,664,25.7999992370605,0.155017499334821
18580,31000US18580,"Corpus Christi, TX Metro Area",185324,157629,27695,4817,1746,21132,857,29.7999992370605,0.14944097904211
18620,31000US18620,"Corsicana, TX Micro Area",20364,17660,2704,219,411,2074,697,29.1000003814697,0.132783343154587
18660,31000US18660,"Cortland, NY Micro Area",20554,18045,2509,259,126,2124,675,27.6000003814697,0.122068697090591
18700,31000US18700,"Corvallis, OR Metro Area",36701,33376,3325,1186,128,2011,845,39,0.090596986458135
18740,31000US18740,"Coshocton, OH Micro Area",16442,14561,1881,356,213,1312,571,28,0.114402140858776
18780,31000US18780,"Craig, CO Micro Area",6181,4890,1291,269,251,771,739,32.0999984741211,0.208865879307555
18820,31000US18820,"Crawfordsville, IN Micro Area",16528,14574,1954,358,357,1239,672,28.6000003814697,0.118223620522749
18860,31000US18860,"Crescent City, CA Micro Area",11270,9527,1743,164,177,1402,843,33.4000015258789,0.154658385093168
18880,31000US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",139731,96293,43438,4313,1523,37602,1011,31.7000007629395,0.310868740651681
18900,31000US18900,"Crossville, TN Micro Area",28373,23923,4450,295,620,3535,635,30.6000003814697,0.156839248581398
18980,31000US18980,"Cullman, AL Micro Area",37084,31160,5924,460,499,4965,621,31.7000007629395,0.159745442778557
19000,31000US19000,"Cullowhee, NC Micro Area",26186,15872,10314,407,245,9662,620,34.7000007629395,0.393874589475292
19060,31000US19060,"Cumberland, MD-WV Metro Area",46366,39638,6728,1010,919,4799,573,30.7000007629395,0.145106327912695
19100,31000US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2581840,2370055,211785,88321,23111,100353,923,29.1000003814697,0.0820287082081
19140,31000US19140,"Dalton, GA Metro Area",55645,48754,6891,2410,904,3577,670,30.7000007629395,0.123838619822086
19180,31000US19180,"Danville, IL Metro Area",36137,31601,4536,1345,830,2361,634,29.2999992370605,0.125522317845975
19220,31000US19220,"Danville, KY Micro Area",23217,20674,2543,251,404,1888,615,29.5,0.109531808588534
19260,31000US19260,"Danville, VA Micro Area",53734,44549,9185,1223,641,7321,599,29.1000003814697,0.170934603789035
19300,31000US19300,"Daphne-Fairhope-Foley, AL Metro Area",105563,73058,32505,9448,2850,20207,882,31.2000007629395,0.307920388772581
19340,31000US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",167808,154591,13217,3349,2149,7719,681,28.2000007629395,0.078762633485889
19380,31000US19380,"Dayton, OH Metro Area",367492,327391,40101,8909,4837,26355,751,30.3999996185303,0.109120742764468
19420,31000US19420,"Dayton, TN Micro Area",14387,12307,2080,398,129,1553,577,32.2000007629395,0.144574963508723
19460,31000US19460,"Decatur, AL Metro Area",66514,59168,7346,596,930,5820,603,26.5,0.110442914273687
19500,31000US19500,"Decatur, IL Metro Area",50424,45153,5271,1205,737,3329,665,29.5,0.104533555449786
19540,31000US19540,"Decatur, IN Micro Area",13073,12164,909,329,197,383,550,28.2999992370605,0.06953262449323
19580,31000US19580,"Defiance, OH Micro Area",16742,15332,1410,290,227,893,647,27.2999992370605,0.084219328634572
19620,31000US19620,"Del Rio, TX Micro Area",18701,15055,3646,597,133,2916,697,27.7000007629395,0.194962836211967
19660,31000US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",303848,233031,70817,6254,6338,58225,932,35.7999992370605,0.233067191490482
19700,31000US19700,"Deming, NM Micro Area",10996,9120,1876,153,146,1577,548,27.3999996185303,0.170607493634049
19740,31000US19740,"Denver-Aurora-Lakewood, CO Metro Area",1092649,1025246,67403,18947,9459,38997,998,30.2000007629395,0.061687696597901
19760,31000US19760,"DeRidder, LA Micro Area",15139,13095,2044,192,132,1720,650,30.3999996185303,0.135015522821851
19780,31000US19780,"Des Moines-West Des Moines, IA Metro Area",246559,229824,16735,3361,2814,10560,793,27.6000003814697,0.067874220774744
